id,city,state_abbrev,state,capital,lat,lng,population,density,timezone,zips
1840019865,Olympia,WA,Washington,state,47.0417,-122.8959,210877,1168.7,America/Los_Angeles,98502 98501 98506 98504 98507 98508
1840009517,Springfield,IL,Illinois,state,39.7709,-89.654,159671,721,America/Chicago,62711 62712 62629 62702 62703 62701 62706 62707 62704 62705 62715 62716 62719 62722 62726 62736 62739 62756 62757 62761 62762 62763 62765 62766 62767 62769 62776 62777 62781 62786 62796
1840001621,Topeka,KS,Kansas,state,39.0346,-95.6955,148185,792.2,America/Chicago,66621 66622 66609 66608 66607 66606 66605 66604 66603 66619 66611 66612 66614 66616 66601 66624 66625 66626 66629 66636 66647 66667 66675 66683 66699
1840005810,Dover,DE,Delaware,state,39.161,-75.5202,130186,634.2,America/New_York,19902 19901 19904 19905 19906
1840006196,Charleston,WV,West Virginia,state,38.3484,-81.6322,129754,594.8,America/New_York,25387 25305 25304 25303 25302 25301 25311 25314 25317 25321 25322 25323 25324 25325 25326 25327 25328 25329 25330 25331 25332 25333 25334 25335 25336 25337 25338 25339 25350 25364 25375 25392 25396
1840001926,Bismarck,ND,North Dakota,state,46.8143,-100.7694,99433,820.3,America/Chicago,58505 58504 58501 58503 58507
1840021707,Santa Fe,NM,New Mexico,state,35.6619,-105.9819,93165,647.7,America/Denver,87505 87507 87501 87502 87503 87509
1840018713,Cheyenne,WY,Wyoming,state,41.135,-104.7902,78204,734,America/Denver,82009 82001 82007 82002 82003
1840003826,Carson City,NV,Nevada,state,39.1511,-119.7476,58249,155.6,America/Los_Angeles,89701 89703 89706 89711 89712 89713 89714
1840002747,Concord,NH,New Hampshire,state,43.2305,-71.5595,44049,265.9,America/New_York,03303 03301 03302 03305
1840008615,Jefferson City,MO,Missouri,state,38.5676,-92.1759,42644,456.7,America/Chicago,65101 65109 65102 65103 65104 65105 65106 65107 65108 65110 65111
1840019820,Helena,MT,Montana,state,46.5965,-112.0202,32529,744.9,America/Denver,59601 59602 59625 59623 59624 59626
1840023306,Juneau,AK,Alaska,state,58.4546,-134.1739,32108,4.6,America/Juneau,99824 99801 99802 99803 99811 99812 99821
